Human_capital ,Economic_activities_general,Segments,Round
Guesthouse,New/non-tradtional,17,(b) Economic activity * Type of economic capital 
Agriculture and fishing,New/non-tradtional,14,(b) Economic activity * Type of economic capital 
Agriculture and fishing,Tradtional,4,(b) Economic activity * Type of economic capital 
Laundry service,New/non-tradtional,4,(b) Economic activity * Type of economic capital 
Guesthouse,Tradtional,3,(b) Economic activity * Type of economic capital 
Guesthouse,Household practice,3,(b) Economic activity * Type of economic capital 
Manufacturing,New/non-tradtional,2,(b) Economic activity * Type of economic capital 
Agriculture and fishing,Household practice,1,(b) Economic activity * Type of economic capital 
Bakery,Household practice,1,(b) Economic activity * Type of economic capital 
"Hotel, restaurants and hospitality",New/non-tradtional,13,(a) Human capital * Type of economic capital 
Crop and livestock production,New/non-tradtional,11,(a) Human capital * Type of economic capital 
Crop and livestock production,Tradtional,3,(a) Human capital * Type of economic capital 
Laundry (service),New/non-tradtional,2,(a) Human capital * Type of economic capital 
"Hotel, restaurants and hospitality",Tradtional,2,(a) Human capital * Type of economic capital 
General working experience,New/non-tradtional,2,(a) Human capital * Type of economic capital 
"Finance, banking",New/non-tradtional,2,(a) Human capital * Type of economic capital 
Metal-plastic ,New/non-tradtional,2,(a) Human capital * Type of economic capital 
Woodworking,Household practice,1,(a) Human capital * Type of economic capital 
Beekeeping,New/non-tradtional,1,(a) Human capital * Type of economic capital 
Fundraising,New/non-tradtional,1,(a) Human capital * Type of economic capital 
New language,New/non-tradtional,1,(a) Human capital * Type of economic capital 
Confectionery,Household practice,1,(a) Human capital * Type of economic capital 
Cooking,Tradtional,1,(a) Human capital * Type of economic capital 
Cooking,Household practice,1,(a) Human capital * Type of economic capital 
Local environment,Tradtional,1,(a) Human capital * Type of economic capital 
Accounting and taxation,New/non-tradtional,1,(a) Human capital * Type of economic capital 
General working experience,Household practice,1,(a) Human capital * Type of economic capital 
"Finance, banking",Household practice,1,(a) Human capital * Type of economic capital 
